benchmark,board,environment,category,type,size,total_size,section_total_size
xgboost,adafruit-feather-nrf52840-sense,native,fill,.data,2,1851856,
xgboost,adafruit-feather-nrf52840-sense,native,fill,.bss,5,1851856,4372
xgboost,adafruit-feather-nrf52840-sense,wamr,Kernel,.text,37549,3065235,109248
xgboost,adafruit-feather-nrf52840-sense,wamr,app,.text,21,3065235,109248
xgboost,adafruit-feather-nrf52840-sense,wamr,Runtime,.text,72543,3065235,109248
xgboost,adafruit-feather-nrf52840-sense,wamr,fill,.text,117,3065235,109248
xgboost,adafruit-feather-nrf52840-sense,wamr,unspecified,.text,398,3065235,109248
xgboost,adafruit-feather-nrf52840-sense,wamr,Application,.text,8971,3065235,109248
xgboost,adafruit-feather-nrf52840-sense,wamr,Kernel,.bss,9656,3065235,9216
xgboost,adafruit-feather-nrf52840-sense,wamr,app,.data,16,3065235,
xgboost,adafruit-feather-nrf52840-sense,wamr,Kernel,.data,158,3065235,
xgboost,adafruit-feather-nrf52840-sense,wamr,Runtime,.data,1944,3065235,
xgboost,adafruit-feather-nrf52840-sense,wamr,fill,.data,2,3065235,
xgboost,adafruit-feather-nrf52840-sense,wamr,fill,.bss,21,3065235,9216
xgboost,adafruit-feather-nrf52840-sense,wamr,Runtime,.bss,51,3065235,9216
xgboost,adafruit-feather-nrf52840-sense,femto-container,Kernel,.text,21575,1919391,27572
xgboost,adafruit-feather-nrf52840-sense,femto-container,fill,.text,50,1919391,27572
xgboost,adafruit-feather-nrf52840-sense,femto-container,Runtime,.text,5963,1919391,27572
xgboost,adafruit-feather-nrf52840-sense,femto-container,Application,.text,1186,1919391,27572
xgboost,adafruit-feather-nrf52840-sense,femto-container,Kernel,.bss,4879,1919391,4892
xgboost,adafruit-feather-nrf52840-sense,femto-container,Runtime,.data,8285,1919391,
xgboost,adafruit-feather-nrf52840-sense,femto-container,fill,.data,5,1919391,
xgboost,adafruit-feather-nrf52840-sense,femto-container,Kernel,.data,158,1919391,
xgboost,adafruit-feather-nrf52840-sense,femto-container,Runtime,.bss,520,1919391,4892
xgboost,adafruit-feather-nrf52840-sense,femto-container,fill,.bss,5,1919391,4892
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,Kernel,.text,30680,2057044,105384
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,fill,.text,167,2057044,105384
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,Runtime,.text,69510,2057044,105384
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,unspecified,.text,9185,2057044,105384
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,Kernel,.bss,12051,2057044,11544
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,Kernel,.data,158,2057044,
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,fill,.data,2,2057044,
xgboost,adafruit-feather-nrf52840-sense,micro-bpf,fill,.bss,5,2057044,11544
libud,native64,jerryscript,Runtime,.text,196926,3175848,217643
libud,native64,jerryscript,Kernel,.text,20290,3175848,217643
libud,native64,jerryscript,fill,.text,12,3175848,217643
libud,native64,jerryscript,unspecified,.text,431,3175848,217643
libud,native64,jerryscript,Kernel,.data,9354,3175848,88
libud,native64,jerryscript,Runtime,.data,35994,3175848,88
libud,native64,jerryscript,fill,.data,616,3175848,88
libud,native64,jerryscript,Application,.data,1764,3175848,88
libud,native64,jerryscript,unspecified,.data,6046,3175848,88
libud,native64,jerryscript,Unspecified,.data,36828,3175848,88
libud,native64,jerryscript,unspecified,.bss,49,3175848,70736
libud,native64,jerryscript,fill,.bss,120,3175848,70736
libud,native64,jerryscript,Kernel,.bss,2524088,3175848,70736
libud,native64,jerryscript,Heap,.bss,7168,3175848,70736
libud,native64,jerryscript,Runtime,.bss,4304,3175848,70736
libud,native64,jerryscript,app,.bss,44,3175848,70736
libud,native64,jerryscript,Unspecified,.bss,5588,3175848,70736
libud,native64,jerryscript,Debug,.bss,12850232,3175848,70736
libud,native64,lua,Kernel,.text,19812,2285052,176035
libud,native64,lua,fill,.text,25,2285052,176035
libud,native64,lua,unspecified,.text,431,2285052,176035
libud,native64,lua,Runtime,.text,155783,2285052,176035
libud,native64,lua,Kernel,.data,9194,2285052,88
libud,native64,lua,Runtime,.data,77024,2285052,88
libud,native64,lua,fill,.data,143,2285052,88
libud,native64,lua,Application,.data,2158,2285052,88
libud,native64,lua,unspecified,.data,1640,2285052,88
libud,native64,lua,Unspecified,.data,172,2285052,88
libud,native64,lua,unspecified,.bss,73,2285052,94304
libud,native64,lua,fill,.bss,112,2285052,94304
libud,native64,lua,Heap,.bss,35000,2285052,94304
libud,native64,lua,Kernel,.bss,2522541,2285052,94304
libud,native64,lua,app,.bss,44,2285052,94304
libud,native64,lua,Unspecified,.bss,1100,2285052,94304
libud,native64,lua,Runtime,.bss,2902313,2285052,94304
libud,native64,lua,Debug,.bss,1180233,2285052,94304
libud,native64,micropython,Kernel,.text,16444,2673483,144179
libud,native64,micropython,unspecified,.text,331,2673483,144179
libud,native64,micropython,fill,.text,127,2673483,144179
libud,native64,micropython,Runtime,.text,127285,2673483,144179
libud,native64,micropython,Kernel,.data,8993,2673483,120
libud,native64,micropython,Runtime,.data,93450,2673483,120
libud,native64,micropython,fill,.data,1252,2673483,120
libud,native64,micropython,Application,.data,2061,2673483,120
libud,native64,micropython,Unspecified,.data,180,2673483,120
libud,native64,micropython,unspecified,.data,984,2673483,120
libud,native64,micropython,unspecified,.bss,49,2673483,116224
libud,native64,micropython,fill,.bss,128,2673483,116224
libud,native64,micropython,Heap,.bss,11000,2673483,116224
libud,native64,micropython,Kernel,.bss,2514774,2673483,116224
libud,native64,micropython,Runtime,.bss,7110688,2673483,116224
libud,native64,micropython,app,.bss,44,2673483,116224
libud,native64,micropython,Unspecified,.bss,924,2673483,116224
libud,native64,micropython,Debug,.bss,937855,2673483,116224
libud,native64,native,Kernel,.text,19625,1062840,21289
libud,native64,native,fill,.text,25,1062840,21289
libud,native64,native,unspecified,.text,431,1062840,21289
libud,native64,native,Runtime,.text,1216,1062840,21289
libud,native64,native,Kernel,.data,9114,1062840,88
libud,native64,native,Runtime,.data,5281,1062840,88
libud,native64,native,fill,.data,23,1062840,88
libud,native64,native,Unspecified,.data,172,1062840,88
libud,native64,native,unspecified,.data,784,1062840,88
libud,native64,native,unspecified,.bss,41,1062840,62720
libud,native64,native,fill,.bss,108,1062840,62720
libud,native64,native,Runtime,.bss,8241,1062840,62720
libud,native64,native,Kernel,.bss,2397599,1062840,62720
libud,native64,native,app,.bss,44,1062840,62720
libud,native64,native,Unspecified,.bss,880,1062840,62720
libud,native64,native,Debug,.bss,984530,1062840,62720
libud,native64,wamr,Kernel,.text,21863,2171755,132846
libud,native64,wamr,fill,.text,26,2171755,132846
libud,native64,wamr,unspecified,.text,556,2171755,132846
libud,native64,wamr,Runtime,.text,110357,2171755,132846
libud,native64,wamr,app,.text,60,2171755,132846
libud,native64,wamr,Kernel,.data,9916,2171755,4000
libud,native64,wamr,Runtime,.data,26333,2171755,4000
libud,native64,wamr,fill,.data,49,2171755,4000
libud,native64,wamr,app,.data,41,2171755,4000
libud,native64,wamr,Application,.data,1051,2171755,4000
libud,native64,wamr,unspecified,.data,6438,2171755,4000
libud,native64,wamr,Unspecified,.data,19000,2171755,4000
libud,native64,wamr,unspecified,.bss,49,2171755,59488
libud,native64,wamr,fill,.bss,135,2171755,59488
libud,native64,wamr,Kernel,.bss,2711081,2171755,59488
libud,native64,wamr,Runtime,.bss,97,2171755,59488
libud,native64,wamr,app,.bss,88,2171755,59488
libud,native64,wamr,Unspecified,.bss,1804,2171755,59488
libud,native64,wamr,Debug,.bss,3897166,2171755,59488
libud,native64,femto-container,Kernel,.text,19966,1116912,25551
libud,native64,femto-container,fill,.text,25,1116912,25551
libud,native64,femto-container,unspecified,.text,431,1116912,25551
libud,native64,femto-container,app,.text,249,1116912,25551
libud,native64,femto-container,Runtime,.text,4888,1116912,25551
libud,native64,femto-container,Kernel,.data,9218,1116912,2328
libud,native64,femto-container,app,.data,6764,1116912,2328
libud,native64,femto-container,fill,.data,38,1116912,2328
libud,native64,femto-container,Runtime,.data,4200,1116912,2328
libud,native64,femto-container,Application,.data,2338,1116912,2328
libud,native64,femto-container,Unspecified,.data,172,1116912,2328
libud,native64,femto-container,unspecified,.data,776,1116912,2328
libud,native64,femto-container,unspecified,.bss,41,1116912,59744
libud,native64,femto-container,fill,.bss,120,1116912,59744
libud,native64,femto-container,Runtime,.bss,237579,1116912,59744
libud,native64,femto-container,Kernel,.bss,2399990,1116912,59744
libud,native64,femto-container,app,.bss,44,1116912,59744
libud,native64,femto-container,Unspecified,.bss,880,1116912,59744
libud,native64,femto-container,Debug,.bss,942895,1116912,59744
libud,native64,micro-bpf,Runtime,.text,52910,2088473,124454
libud,native64,micro-bpf,fill,.text,1250,2088473,124454
libud,native64,micro-bpf,Kernel,.text,30198,2088473,124454
libud,native64,micro-bpf,unspecified,.text,40104,2088473,124454
libud,native64,micro-bpf,Kernel,.data,16279,2088473,88
libud,native64,micro-bpf,fill,.data,36,2088473,88
libud,native64,micro-bpf,unspecified,.data,6031,2088473,88
libud,native64,micro-bpf,Runtime,.data,28723,2088473,88
libud,native64,micro-bpf,Unspecified,.data,8596,2088473,88
libud,native64,micro-bpf,unspecified,.bss,41,2088473,66368
libud,native64,micro-bpf,fill,.bss,112,2088473,66368
libud,native64,micro-bpf,Kernel,.bss,2083151,2088473,66368
libud,native64,micro-bpf,Unspecified,.bss,14847,2088473,66368
libud,native64,micro-bpf,Debug,.bss,2152231,2088473,66368
libud,adafruit-feather-nrf52840-sense,jerryscript,Kernel,.text,49007,4161628,177572
libud,adafruit-feather-nrf52840-sense,jerryscript,Runtime,.text,130999,4161628,177572
libud,adafruit-feather-nrf52840-sense,jerryscript,fill,.text,265,4161628,177572
libud,adafruit-feather-nrf52840-sense,jerryscript,Application,.text,1764,4161628,177572
libud,adafruit-feather-nrf52840-sense,jerryscript,unspecified,.text,4765,4161628,177572
libud,adafruit-feather-nrf52840-sense,jerryscript,Kernel,.bss,12479,4161628,21308
libud,adafruit-feather-nrf52840-sense,jerryscript,Kernel,.data,158,4161628,
libud,adafruit-feather-nrf52840-sense,jerryscript,fill,.data,2,4161628,
libud,adafruit-feather-nrf52840-sense,jerryscript,fill,.bss,5,4161628,21308
libud,adafruit-feather-nrf52840-sense,jerryscript,Heap,.bss,7168,4161628,21308
libud,adafruit-feather-nrf52840-sense,jerryscript,Runtime,.bss,2168,4161628,21308
libud,adafruit-feather-nrf52840-sense,lua,Kernel,.text,83554,3476782,163100
libud,adafruit-feather-nrf52840-sense,lua,Runtime,.text,90578,3476782,163100
libud,adafruit-feather-nrf52840-sense,lua,fill,.text,205,3476782,163100
libud,adafruit-feather-nrf52840-sense,lua,app,.text,69,3476782,163100
libud,adafruit-feather-nrf52840-sense,lua,Application,.text,2158,3476782,163100
libud,adafruit-feather-nrf52840-sense,lua,Kernel,.bss,6499,3476782,40996
libud,adafruit-feather-nrf52840-sense,lua,Kernel,.data,622,3476782,
libud,adafruit-feather-nrf52840-sense,lua,fill,.data,2,3476782,
libud,adafruit-feather-nrf52840-sense,lua,Heap,.bss,35000,3476782,40996
libud,adafruit-feather-nrf52840-sense,lua,fill,.bss,9,3476782,40996
libud,adafruit-feather-nrf52840-sense,micropython,Kernel,.text,35598,3591441,129900
libud,adafruit-feather-nrf52840-sense,micropython,Runtime,.text,102856,3591441,129900
libud,adafruit-feather-nrf52840-sense,micropython,fill,.text,195,3591441,129900
libud,adafruit-feather-nrf52840-sense,micropython,Application,.text,2061,3591441,129900
libud,adafruit-feather-nrf52840-sense,micropython,Kernel,.bss,7439,3591441,18380
libud,adafruit-feather-nrf52840-sense,micropython,Kernel,.data,157,3591441,
libud,adafruit-feather-nrf52840-sense,micropython,fill,.data,3,3591441,
libud,adafruit-feather-nrf52840-sense,micropython,Heap,.bss,11000,3591441,18380
libud,adafruit-feather-nrf52840-sense,micropython,fill,.bss,5,3591441,18380
libud,adafruit-feather-nrf52840-sense,micropython,Runtime,.bss,448,3591441,18380
libud,adafruit-feather-nrf52840-sense,native,Kernel,.text,20585,1846974,21140
libud,adafruit-feather-nrf52840-sense,native,Runtime,.text,1650,1846974,21140
libud,adafruit-feather-nrf52840-sense,native,fill,.text,44,1846974,21140
libud,adafruit-feather-nrf52840-sense,native,Kernel,.bss,4879,1846974,6136
libud,adafruit-feather-nrf52840-sense,native,Kernel,.data,158,1846974,
libud,adafruit-feather-nrf52840-sense,native,fill,.data,2,1846974,
libud,adafruit-feather-nrf52840-sense,native,Runtime,.bss,1764,1846974,6136
libud,adafruit-feather-nrf52840-sense,native,fill,.bss,5,1846974,6136
libud,adafruit-feather-nrf52840-sense,wamr,Kernel,.text,37549,3057294,101328
libud,adafruit-feather-nrf52840-sense,wamr,app,.text,21,3057294,101328
libud,adafruit-feather-nrf52840-sense,wamr,Runtime,.text,72543,3057294,101328
libud,adafruit-feather-nrf52840-sense,wamr,fill,.text,117,3057294,101328
libud,adafruit-feather-nrf52840-sense,wamr,unspecified,.text,398,3057294,101328
libud,adafruit-feather-nrf52840-sense,wamr,Application,.text,1051,3057294,101328
libud,adafruit-feather-nrf52840-sense,wamr,Kernel,.bss,9656,3057294,9216
libud,adafruit-feather-nrf52840-sense,wamr,app,.data,16,3057294,
libud,adafruit-feather-nrf52840-sense,wamr,Kernel,.data,158,3057294,
libud,adafruit-feather-nrf52840-sense,wamr,Runtime,.data,1944,3057294,
libud,adafruit-feather-nrf52840-sense,wamr,fill,.data,2,3057294,
libud,adafruit-feather-nrf52840-sense,wamr,fill,.bss,21,3057294,9216
libud,adafruit-feather-nrf52840-sense,wamr,Runtime,.bss,51,3057294,9216
libud,adafruit-feather-nrf52840-sense,femto-container,Kernel,.text,21575,1914171,28724
libud,adafruit-feather-nrf52840-sense,femto-container,fill,.text,50,1914171,28724
libud,adafruit-feather-nrf52840-sense,femto-container,Runtime,.text,5963,1914171,28724
libud,adafruit-feather-nrf52840-sense,femto-container,Application,.text,2338,1914171,28724
libud,adafruit-feather-nrf52840-sense,femto-container,Kernel,.bss,4879,1914171,4892
libud,adafruit-feather-nrf52840-sense,femto-container,app,.data,2240,1914171,
libud,adafruit-feather-nrf52840-sense,femto-container,Kernel,.data,158,1914171,
libud,adafruit-feather-nrf52840-sense,femto-container,fill,.data,2,1914171,
libud,adafruit-feather-nrf52840-sense,femto-container,Runtime,.bss,520,1914171,4892
libud,adafruit-feather-nrf52840-sense,femto-container,fill,.bss,5,1914171,4892
libud,adafruit-feather-nrf52840-sense,micro-bpf,Kernel,.text,30680,2050160,98496
libud,adafruit-feather-nrf52840-sense,micro-bpf,fill,.text,167,2050160,98496
libud,adafruit-feather-nrf52840-sense,micro-bpf,Runtime,.text,62488,2050160,98496
libud,adafruit-feather-nrf52840-sense,micro-bpf,unspecified,.text,9319,2050160,98496
libud,adafruit-feather-nrf52840-sense,micro-bpf,Kernel,.bss,12051,2050160,11544
libud,adafruit-feather-nrf52840-sense,micro-bpf,Kernel,.data,158,2050160,
libud,adafruit-feather-nrf52840-sense,micro-bpf,fill,.data,2,2050160,
libud,adafruit-feather-nrf52840-sense,micro-bpf,fill,.bss,5,2050160,11544
